locus_tag,set
PMG11_03712,Betalactone
PMG11_03713,Betalactone
PMG11_01319,NRPS
PMG11_01772,NRPS
PMG11_02744,NRPS
PMG11_03269,NRPS
PMG11_04893,NRPS
PMG11_05845,NRPS
PMG11_07368,NRPS
PMG11_07604,NRPS
PMG11_07946,NRPS
PMG11_08313,NRPS
PMG11_08754,NRPS
PMG11_09214,NRPS
PMG11_09430,NRPS
PMG11_09509,NRPS
PMG11_10769,NRPS
PMG11_00337,PKS
PMG11_01358,PKS
PMG11_01670,PKS
PMG11_03072,PKS
PMG11_03360,PKS
PMG11_03361,PKS
PMG11_07382,PKS
PMG11_08264,PKS
PMG11_08683,PKS
PMG11_08969,PKS
PMG11_09333,PKS
PMG11_09508,PKS
PMG11_09691,PKS
PMG11_09807,PKS
PMG11_03458,RiPP
PMG11_03460,RiPP
PMG11_05346,RiPP
PMG11_05351,RiPP
PMG11_04684,Siderophore
PMG11_01269,Terpene
PMG11_04119,Terpene
PMG11_04355,Terpene
PMG11_08897,Terpene
PMG11_09714,Terpene
PMG11_03146,Verruculogen
PMG11_03147,Verruculogen
PMG11_03148,Verruculogen
PMG11_03149,Verruculogen
PMG11_03150,Verruculogen
PMG11_03151,Verruculogen
PMG11_03152,Verruculogen
PMG11_03153,Verruculogen
PMG11_02430,Iron_uptake
PMG11_02775,Iron_uptake
PMG11_03029,Iron_uptake
PMG11_04786,Iron_uptake
PMG11_07092,Iron_uptake
PMG11_07093,Iron_uptake
PMG11_07118,Iron_uptake
PMG11_08552,Iron_uptake
PMG11_09429,Iron_uptake
PMG11_09500,Iron_uptake
PMG11_10816,Iron_uptake
PMG11_03754,Fe_S_iron_dependent
PMG11_05343,Fe_S_iron_dependent
PMG11_05643,Fe_S_iron_dependent
PMG11_06596,Fe_S_iron_dependent
PMG11_07272,Fe_S_iron_dependent
PMG11_07495,Fe_S_iron_dependent
PMG11_07862,Fe_S_iron_dependent
PMG11_08220,Fe_S_iron_dependent
PMG11_08921,Fe_S_iron_dependent
PMG11_09775,Fe_S_iron_dependent
PMG11_10858,Fe_S_iron_dependent
PMG11_04407,Fe_S_iron_dependent
PMG11_02730,Fe_S_iron_dependent
PMG11_10629,Fe_S_iron_dependent
