lcl|CDHK01000001.1_cds_CEJ53651.1_1	PMG11_00001
lcl|CDHK01000001.1_cds_CEJ53652.1_2	PMG11_00002
lcl|CDHK01000001.1_cds_CEJ53653.1_3	PMG11_00003
lcl|CDHK01000001.1_cds_CEJ53654.1_4	PMG11_00004
lcl|CDHK01000001.1_cds_CEJ53655.1_5	PMG11_00005
lcl|CDHK01000001.1_cds_CEJ53656.1_6	PMG11_00006
lcl|CDHK01000001.1_cds_CEJ53657.1_7	PMG11_00007
lcl|CDHK01000001.1_cds_CEJ53658.1_8	PMG11_00008
lcl|CDHK01000001.1_cds_CEJ53659.1_9	PMG11_00009
lcl|CDHK01000001.1_cds_CEJ53660.1_10	PMG11_00010
lcl|CDHK01000001.1_cds_CEJ53661.1_11	PMG11_00012
lcl|CDHK01000001.1_cds_CEJ53662.1_12	PMG11_00011
lcl|CDHK01000001.1_cds_CEJ53663.1_13	PMG11_00013
lcl|CDHK01000001.1_cds_CEJ53664.1_14	PMG11_00014
lcl|CDHK01000001.1_cds_CEJ53665.1_15	PMG11_00015
lcl|CDHK01000001.1_cds_CEJ53666.1_16	PMG11_00016
lcl|CDHK01000001.1_cds_CEJ53667.1_17	PMG11_00017
lcl|CDHK01000001.1_cds_CEJ53668.1_18	PMG11_00018
lcl|CDHK01000001.1_cds_CEJ53669.1_19	PMG11_00019
lcl|CDHK01000001.1_cds_CEJ53670.1_20	PMG11_00020
lcl|CDHK01000001.1_cds_CEJ53671.1_21	PMG11_00021
lcl|CDHK01000001.1_cds_CEJ53672.1_22	PMG11_00021
lcl|CDHK01000001.1_cds_CEJ53673.1_23	PMG11_00022
lcl|CDHK01000001.1_cds_CEJ53674.1_24	PMG11_00023
lcl|CDHK01000001.1_cds_CEJ53675.1_25	PMG11_00024
lcl|CDHK01000001.1_cds_CEJ53676.1_26	PMG11_00025
lcl|CDHK01000001.1_cds_CEJ53677.1_27	PMG11_00026
lcl|CDHK01000001.1_cds_CEJ53678.1_28	PMG11_00027
lcl|CDHK01000001.1_cds_CEJ53679.1_29	PMG11_00028
lcl|CDHK01000001.1_cds_CEJ53680.1_30	PMG11_00029
