locus_tag	chrom	start	end	strand	product
PMG11_00001	CDHK01000001.1	6134	6559	-	hypothetical protein
PMG11_00002	CDHK01000001.1	31426	33840	-	hypothetical protein
PMG11_00003	CDHK01000001.1	36470	37947	-	hypothetical protein
PMG11_00004	CDHK01000001.1	39169	40887	+	hypothetical protein
PMG11_00005	CDHK01000001.1	42565	43425	-	hypothetical protein
PMG11_00006	CDHK01000001.1	44121	46083	+	hypothetical protein
PMG11_00007	CDHK01000001.1	47044	47808	-	Putative Extracellular proline-serine rich protein
PMG11_00008	CDHK01000001.1	50036	50977	-	hypothetical protein
PMG11_00009	CDHK01000001.1	53768	55100	-	Putative N,O-diacetylmuramidase
PMG11_00010	CDHK01000001.1	56044	59059	+	hypothetical protein
PMG11_00011	CDHK01000001.1	59300	65542	-	Putative Small oligopeptide transporter, OPT family
PMG11_00012	CDHK01000001.1	59306	61105	+	hypothetical protein
PMG11_00013	CDHK01000001.1	65278	66499	+	Putative FAD dependent oxidoreductase superfamily
PMG11_00014	CDHK01000001.1	66782	67357	-	Putative Glutathione-dependent formaldehyde-activating enzyme
PMG11_00015	CDHK01000001.1	69260	69990	+	hypothetical protein
PMG11_00016	CDHK01000001.1	70116	71397	-	hypothetical protein
PMG11_00017	CDHK01000001.1	77809	79815	-	hypothetical protein
PMG11_00018	CDHK01000001.1	80843	81270	+	hypothetical protein
PMG11_00019	CDHK01000001.1	91940	92939	-	hypothetical protein
PMG11_00020	CDHK01000001.1	93506	95381	+	hypothetical protein
PMG11_00021	CDHK01000001.1	95628	98151	+	hypothetical protein
PMG11_00022	CDHK01000001.1	98210	99868	-	Putative Nonspecific lipid-transfer protein, mitochondrial
PMG11_00023	CDHK01000001.1	100362	101066	-	hypothetical protein
PMG11_00024	CDHK01000001.1	102371	103780	-	hypothetical protein
PMG11_00025	CDHK01000001.1	104021	107369	-	hypothetical protein
PMG11_00026	CDHK01000001.1	106783	108532	+	hypothetical protein
PMG11_00027	CDHK01000001.1	108542	110733	-	Putative Aldo/keto reductase family protein
PMG11_00028	CDHK01000001.1	111713	113913	-	Putative Tripeptidyl-peptidase sed1
PMG11_00029	CDHK01000001.1	116742	118883	-	Putative Sensor histidine kinase/response regulator Fos-1/TcsA
PMG11_00030	CDHK01000001.1	120155	123725	-	hypothetical protein
PMG11_00031	CDHK01000001.1	124405	125064	+	hypothetical protein
PMG11_00032	CDHK01000001.1	126814	127783	+	hypothetical protein
PMG11_00033	CDHK01000001.1	128336	129434	+	Putative D-isomer specific 2-hydroxyacid dehydrogenase family protein
PMG11_00034	CDHK01000001.1	130200	130691	+	hypothetical protein
PMG11_00035	CDHK01000001.1	130962	131744	-	hypothetical protein
PMG11_00036	CDHK01000001.1	132894	134164	-	hypothetical protein
PMG11_00037	CDHK01000001.1	135968	136594	+	Putative Function: aphA-6 of A. baumannii phosphorylates
PMG11_00038	CDHK01000001.1	138080	139433	-	Putative F-actin-capping protein subunit alpha
PMG11_00039	CDHK01000001.1	139892	141922	-	hypothetical protein
PMG11_00040	CDHK01000001.1	142507	144222	-	hypothetical protein
PMG11_00041	CDHK01000001.1	146195	146804	-	hypothetical protein
PMG11_00042	CDHK01000001.1	147221	147936	+	hypothetical protein
PMG11_00043	CDHK01000001.1	148549	150660	+	hypothetical protein
PMG11_00044	CDHK01000001.1	151403	152543	-	Putative PAP2 domain protein
PMG11_00045	CDHK01000001.1	152666	154147	+	hypothetical protein
PMG11_00046	CDHK01000001.1	154577	156881	-	hypothetical protein
PMG11_00047	CDHK01000001.1	158060	162273	-	Putative Karyopherin (Importin) beta 3
PMG11_00048	CDHK01000001.1	162580	167245	-	Putative Patched sphingolipid transporter
PMG11_00049	CDHK01000001.1	167612	170255	-	hypothetical protein
PMG11_00050	CDHK01000001.1	170434	174048	+	Putative BZIP transcription factor AP-1-like protein (Fragment)
PMG11_00051	CDHK01000001.1	174276	177500	-	Putative Ser/Thr protein phosphatase family protein
PMG11_00052	CDHK01000001.1	177944	180537	-	hypothetical protein
PMG11_00053	CDHK01000001.1	181061	182195	-	Putative NAD-binding Rossmann fold oxidoreductase family protein
PMG11_00054	CDHK01000001.1	183489	186559	+	hypothetical protein
PMG11_00055	CDHK01000001.1	185009	186888	-	Putative Apoptosis antagonizing transcription factor/protein transport protein
PMG11_00056	CDHK01000001.1	187065	188653	+	Putative ATPases involved in chromosome partitioning
PMG11_00057	CDHK01000001.1	188786	192090	-	Putative Lipase esterase family protein
PMG11_00058	CDHK01000001.1	192719	193876	-	hypothetical protein
PMG11_00059	CDHK01000001.1	195692	197639	-	hypothetical protein
PMG11_00060	CDHK01000001.1	199516	202624	-	Putative NADPH:adrenodoxin oxidoreductase, mitochondrial
PMG11_00061	CDHK01000001.1	200215	200670	+	hypothetical protein
PMG11_00062	CDHK01000001.1	202773	207189	+	hypothetical protein
PMG11_00063	CDHK01000001.1	202803	207465	-	hypothetical protein
PMG11_00064	CDHK01000001.1	207601	208946	+	Putative Translocation protein sec62 (Eurofung)
PMG11_00065	CDHK01000001.1	209750	212206	-	hypothetical protein
PMG11_00066	CDHK01000001.1	213101	214360	-	Putative Pterin-4-alpha-carbinolamine dehydratase family protein
PMG11_00067	CDHK01000001.1	215245	219070	-	Putative Synaptic vesicle transporter SVOP
PMG11_00068	CDHK01000001.1	221149	222345	+	hypothetical protein
PMG11_00069	CDHK01000001.1	222211	225946	-	Putative Carnitine acetyl transferase
PMG11_00070	CDHK01000001.1	226343	231299	-	hypothetical protein
PMG11_00071	CDHK01000001.1	231897	232872	-	hypothetical protein
PMG11_00072	CDHK01000001.1	233684	235484	-	hypothetical protein
PMG11_00073	CDHK01000001.1	237051	238533	+	hypothetical protein
PMG11_00074	CDHK01000001.1	239246	239734	-	Putative TPR repeat protein
PMG11_00075	CDHK01000001.1	246049	248203	+	hypothetical protein
PMG11_00076	CDHK01000001.1	248775	251604	-	hypothetical protein
PMG11_00077	CDHK01000001.1	251720	253745	-	Putative Protein btn1
PMG11_00078	CDHK01000001.1	254010	255578	-	Putative Acetylornithine aminotransferase
PMG11_00079	CDHK01000001.1	255746	257374	+	Putative Fmp21-like protein
PMG11_00080	CDHK01000001.1	256568	257701	-	Putative Hydroxymethylglutaryl-CoA lyase
PMG11_00081	CDHK01000001.1	257918	260579	+	Putative Diphthamide biosynthesis protein 1
PMG11_00082	CDHK01000001.1	259648	260544	-	Putative Shikimate / quinate 5-dehydrogenase, protein
PMG11_00083	CDHK01000001.1	260644	261823	+	Putative Shikimate / quinate 5-dehydrogenase, protein
PMG11_00084	CDHK01000001.1	262066	262824	+	Putative Pathogenesis associated protein pep2
PMG11_00085	CDHK01000001.1	262920	264141	-	hypothetical protein
PMG11_00086	CDHK01000001.1	264427	268474	-	hypothetical protein
PMG11_00087	CDHK01000001.1	267250	269279	+	hypothetical protein
PMG11_00088	CDHK01000001.1	269447	273043	-	hypothetical protein
PMG11_00089	CDHK01000001.1	269465	269908	+	Putative Catabolic 3-dehydroquinase 2
PMG11_00090	CDHK01000001.1	274541	275156	+	hypothetical protein
PMG11_00091	CDHK01000001.1	276181	279789	+	Putative Cytoplasm protein
PMG11_00092	CDHK01000001.1	280109	281387	-	Putative ATP synthase oligomycin sensitivity conferral protein
PMG11_00093	CDHK01000001.1	281477	283284	-	Putative Protein kinase regulator
PMG11_00094	CDHK01000001.1	283642	285940	-	hypothetical protein
PMG11_00095	CDHK01000001.1	286256	289348	-	hypothetical protein
PMG11_00096	CDHK01000001.1	289624	290642	-	hypothetical protein
PMG11_00097	CDHK01000001.1	290896	293410	-	hypothetical protein
PMG11_00098	CDHK01000001.1	293758	294829	+	Putative Deoxyribose-phosphate aldolase
PMG11_00099	CDHK01000001.1	295020	299461	+	hypothetical protein
PMG11_00100	CDHK01000001.1	299506	300592	-	hypothetical protein
PMG11_00101	CDHK01000001.1	300749	303276	-	hypothetical protein
PMG11_00102	CDHK01000001.1	303289	305923	-	Putative Zn cluster transcription factor (Fragment)
PMG11_00103	CDHK01000001.1	306223	308202	-	hypothetical protein
PMG11_00104	CDHK01000001.1	309434	310808	-	Putative HLH transcription factor
PMG11_00105	CDHK01000001.1	311334	314434	+	Putative Integral membrane protein
PMG11_00106	CDHK01000001.1	314577	315778	+	Putative Cytochrome c oxidase assembly protein COX11, mitochondrial
PMG11_00107	CDHK01000001.1	315918	317662	+	Putative Replication factor C subunit 5
PMG11_00108	CDHK01000001.1	317813	319144	+	hypothetical protein
PMG11_00109	CDHK01000001.1	318258	319410	-	Putative Mitochondrial large ribosomal subunit protein L16
PMG11_00110	CDHK01000001.1	319536	323033	+	hypothetical protein
PMG11_00111	CDHK01000001.1	323662	325520	-	Putative Mfs transporter
PMG11_00112	CDHK01000001.1	328708	330413	+	Putative Polygalacturonase 2
PMG11_00113	CDHK01000001.1	331053	334245	+	hypothetical protein
PMG11_00114	CDHK01000001.1	334422	336239	+	hypothetical protein
PMG11_00115	CDHK01000001.1	336334	337589	-	Putative Lectin family integral membrane protein
PMG11_00116	CDHK01000001.1	338040	338417	+	hypothetical protein
PMG11_00117	CDHK01000001.1	338221	340548	-	Putative AGC/PKA protein kinase
PMG11_00118	CDHK01000001.1	340641	342633	+	hypothetical protein
PMG11_00119	CDHK01000001.1	342762	357706	-	hypothetical protein
PMG11_00120	CDHK01000001.1	357914	360801	+	Putative Cl-channel CLC-3 and related proteins
PMG11_00121	CDHK01000001.1	361220	362452	+	hypothetical protein
PMG11_00122	CDHK01000001.1	362755	364102	+	hypothetical protein
PMG11_00123	CDHK01000001.1	364205	366654	+	Putative YagE family protein
